source,work_no,row_index,stage,slot,expert_code,raw_score,final_score,consensus_rank,prize,n,mean,std,median,mad,cv,raw_min,raw_max,cv_weight,z_score,robust_z,percentile,calibration_n,calibration_spearman_score_vs_negative_rank,calibration_p_value,calibration_weight,final_weight
data2.1,3,5,phase1,expert_3,P394,70.0,280.39,3.0,一等奖,120,46.175,13.372907831341179,48.0,11.8608,0.2896135967805345,20.0,80.0,0.7754260675418261,1.7815870938826754,1.8548495885606369,0.9708333333333333,,,,0.75,0.5815695506563696
data2.1,3,5,phase1,expert_4,P290,77.0,280.39,3.0,一等奖,120,71.525,9.82020083999381,73.0,7.412999999999999,0.13729746018865863,30.0,85.0,0.8792774406039005,0.5575242389852635,0.5395926075812761,0.7,,,,0.75,0.6594580804529253
data2.1,3,5,phase1,expert_5,P704,82.0,280.39,3.0,一等奖,120,60.30833333333333,15.941487459110068,63.0,15.5673,0.26433307932751254,20.0,86.0,0.7909308206441068,1.3607053119921098,1.220507088576696,0.9833333333333333,1.0,,,0.5,0.3954654103220534
data2.1,3,5,phase2,expert_1,P493,70.0,280.39,3.0,一等奖,74,44.17567567567568,9.188077605525196,43.5,9.636899999999999,0.20798952059004724,30.0,70.0,0.8278217508969333,2.8106341100988326,2.7498469424815037,1.0,,,,0.75,0.6208663131727
data2.1,3,5,phase2,expert_2,P370,76.0,280.39,3.0,一等奖,72,51.263888888888886,9.26905050906473,48.5,6.6716999999999995,0.1808105219866325,35.0,76.0,0.8468759224109629,2.6686779931688007,4.121887974579193,0.9930555555555556,5.0,0.35909242322980395,,0.5598487372049673,0.47412241573106945
data2.1,3,5,phase2,expert_3,P376,63.0,280.39,3.0,一等奖,71,56.605633802816904,8.62633653949087,56.0,8.8956,0.1523936039571664,38.0,76.0,0.8677590682264574,0.7412609243692334,0.7869058860560277,0.7676056338028169,,,,0.75,0.6508193011698431
data2.1,4,6,phase1,expert_1,P183,56.0,272.46,4.0,一等奖,120,40.075,7.059367100919615,39.0,4.4478,0.1761538889811507,16.0,60.0,0.85022887682347,2.2558679513812887,3.822114303700706,0.9833333333333333,,,,0.75,0.6376716576176025
data2.1,4,6,phase1,expert_2,P117,52.0,272.46,4.0,一等奖,119,39.134453781512605,12.40279108128072,37.0,13.343399999999999,0.31692766559424645,20.0,78.0,0.7593431485462514,1.0373105645474512,1.1241512657943253,0.8319327731092437,,,,0.75,0.5695073614096886
data2.1,4,6,phase1,expert_3,P434,75.0,272.46,4.0,一等奖,119,45.63865546218487,14.298115967175402,46.0,14.825999999999999,0.31328959677662915,20.0,75.0,0.7614466774536439,2.0535114280245605,1.9560232024821262,1.0,,,,0.75,0.571085008090233
data2.1,4,6,phase1,expert_4,P340,80.0,272.46,4.0,一等奖,119,63.32773109243698,11.779837157299742,65.0,7.412999999999999,0.18601388292445187,30.0,80.0,0.8431604506468491,1.4153225282262525,2.023472278429786,0.9663865546218487,,,,0.75,0.6323703379851369
data2.1,4,6,phase1,expert_5,P407,88.0,272.46,4.0,一等奖,119,68.38655462184875,18.831144975269517,72.0,16.3086,0.2753632651827319,20.0,95.0,0.7840903272815544,1.0415429016084319,0.9810774683295931,0.9033613445378151,,,,0.75,0.5880677454611658
data2.1,4,6,phase2,expert_1,P037,72.0,272.46,4.0,一等奖,76,56.89473684210526,4.745746017556976,57.0,4.4478,0.08341274221422992,47.0,72.0,0.9230092660311945,3.1829059334428216,3.372453797382976,1.0,,,,0.75,0.6922569495233959
data2.1,4,6,phase2,expert_2,P493,54.0,272.46,4.0,一等奖,74,44.17567567567568,9.188077605525196,43.5,9.636899999999999,0.20798952059004724,30.0,70.0,0.8278217508969333,1.0692469900794617,1.0895619960775769,0.8581081081081081,,,,0.75,0.6208663131727
data2.1,4,6,phase2,expert_3,P326,57.0,272.46,4.0,一等奖,70,44.81428571428572,7.33917986403144,44.0,8.8956,0.16376875692770188,32.0,58.0,0.8592772353160225,1.6603645790771808,1.4613966455326228,0.9857142857142858,,,,0.75,0.6444579264870169
data2.1,5,7,phase1,expert_1,P037,95.0,269.46,5.0,一等奖,120,63.525,14.866895433544043,62.0,11.8608,0.2340321988751522,25.0,95.0,0.8103516268955723,2.1171198883247166,2.782274382840955,0.9875,,,,0.75,0.6077637201716792
data2.1,5,7,phase1,expert_2,P345,36.0,269.46,5.0,一等奖,120,32.28333333333333,9.368446355444746,32.5,9.636899999999999,0.290194517979703,20.0,66.0,0.775076925273164,0.39672177495114963,0.36318733202585896,0.6958333333333333,,,,0.75,0.5813076939548729
data2.1,5,7,phase1,expert_3,P376,70.0,269.46,5.0,一等奖,120,47.025,14.150726738471446,48.0,11.8608,0.3009192288882817,20.0,80.0,0.7686872311469819,1.6235915246344266,1.8548495885606369,0.9416666666666667,2.0,,,0.5,0.38434361557349095
data2.1,5,7,phase1,expert_4,P565,68.0,269.46,5.0,一等奖,120,47.93333333333333,15.461382271216719,50.0,13.343399999999999,0.32256013083205953,20.0,79.0,0.7561092888614993,1.2978572235435417,1.3489815189531904,0.925,,,,0.75,0.5670819666461244
data2.1,5,7,phase1,expert_5,P704,65.0,269.46,5.0,一等奖,120,60.30833333333333,15.941487459110068,63.0,15.5673,0.26433307932751254,20.0,86.0,0.7909308206441068,0.2943054516525387,0.12847443037649434,0.5416666666666666,1.0,,,0.5,0.3954654103220534
data2.1,5,7,phase2,expert_1,P370,76.0,269.46,5.0,一等奖,72,51.263888888888886,9.26905050906473,48.5,6.6716999999999995,0.1808105219866325,35.0,76.0,0.8468759224109629,2.6686779931688007,4.121887974579193,0.9930555555555556,5.0,0.35909242322980395,,0.5598487372049673,0.47412241573106945
data2.1,5,7,phase2,expert_2,P376,74.0,269.46,5.0,一等奖,71,56.605633802816904,8.62633653949087,56.0,8.8956,0.1523936039571664,38.0,76.0,0.8677590682264574,2.0164256422819458,2.0234722784297854,0.9859154929577465,,,,0.75,0.6508193011698431
data2.1,5,7,phase2,expert_3,P326,53.0,269.46,5.0,一等奖,70,44.81428571428572,7.33917986403144,44.0,8.8956,0.16376875692770188,32.0,58.0,0.8592772353160225,1.1153445531198412,1.0117361392148927,0.8071428571428572,,,,0.75,0.6444579264870169
data2.1,6,8,phase1,expert_1,P530,76.0,265.38,6.0,一等奖,119,52.890756302521005,11.9389619370791,54.0,10.3782,0.2257287051973964,20.0,86.0,0.8158412181747476,1.9356158281825242,2.1198281012121565,0.9663865546218487,,,,0.75,0.6118809136310608
data2.1,6,8,phase1,expert_2,P493,56.0,265.38,6.0,一等奖,119,38.11764705882353,11.779166088428486,37.0,11.8608,0.3090213325667967,20.0,70.0,0.7639294907739572,1.5181340348654715,1.6019155537569136,0.9201680672268907,,,,0.75,0.5729471180804679
data2.1,6,8,phase1,expert_3,P370,59.0,265.38,6.0,一等奖,119,38.57983193277311,15.560976723254987,36.0,14.825999999999999,0.4033448551660517,5.0,75.0,0.7125832230892915,1.3122677599478778,1.551328746796169,0.865546218487395,2.0,,,0.5,0.3562916115446457
data2.1,6,8,phase1,expert_4,P326,51.0,265.38,6.0,一等奖,119,35.57142857142857,10.964172338144484,34.0,11.8608,0.3082297444458289,20.0,63.0,0.7643917318388169,1.4071806747231845,1.433292863887765,0.8991596638655462,,,,0.75,0.5732937988791127
data2.1,6,8,phase1,expert_5,P239,68.0,265.38,6.0,一等奖,119,53.470588235294116,15.037706014995099,53.0,16.3086,0.28123322580298865,23.0,85.0,0.7804980232020357,0.9661986841754746,0.9197601265589935,0.8067226890756303,,,,0.75,0.5853735174015268
data2.1,6,8,phase2,expert_1,P037,56.0,265.38,6.0,一等奖,76,56.89473684210526,4.745746017556976,57.0,4.4478,0.08341274221422992,47.0,72.0,0.9230092660311945,-0.18853449779974835,-0.22483025315886507,0.4276315789473684,,,,0.75,0.6922569495233959
data2.1,6,8,phase2,expert_2,P434,70.0,265.38,6.0,一等奖,74,58.5945945945946,4.943291895579493,57.0,2.9652,0.08436429895592307,52.0,81.0,0.9221993023588541,2.307249024805639,4.384189936597869,0.9594594594594594,,,,0.75,0.6916494767691406
data2.1,6,8,phase2,expert_3,P326,55.0,265.38,6.0,一等奖,70,44.81428571428572,7.33917986403144,44.0,8.8956,0.16376875692770188,32.0,58.0,0.8592772353160225,1.387854566098511,1.2365663923737578,0.8714285714285714,,,,0.75,0.6444579264870169
data2.1,7,9,phase1,expert_1,P125,80.0,263.01,7.0,一等奖,120,55.75833333333333,12.029372898240789,56.5,11.119499999999999,0.2157412565818106,30.0,85.0,0.822543443834101,2.0152061850382776,2.113404379693332,0.9916666666666667,,,,0.75,0.6169075828755758
data2.1,7,9,phase1,expert_2,P154,57.0,263.01,7.0,一等奖,119,55.78991596638655,14.089227733572613,59.0,11.8608,0.25254075919493013,21.0,83.0,0.7983772126048412,0.08588717965925068,-0.1686226898691488,0.4789915966386555,,,,0.75,0.5987829094536309
data2.1,7,9,phase1,expert_3,P253,96.0,263.01,7.0,一等奖,120,61.21666666666667,14.097012815065582,61.0,10.3782,0.23028063406042334,22.0,96.0,0.8128226782694253,2.467425814932943,3.372453797382976,1.0,,,,0.75,0.609617008702069
data2.1,7,9,phase1,expert_4,P280,69.0,263.01,7.0,一等奖,120,47.541666666666664,14.110545453567658,48.5,14.0847,0.29680376063595426,20.0,75.0,0.7711266965401138,1.5207302512822345,1.455480059923179,0.9291666666666667,,,,0.75,0.5783450224050853
data2.1,7,9,phase1,expert_5,P301,82.0,263.01,7.0,一等奖,120,42.575,12.121002329798953,43.0,7.412999999999999,0.28469764720608226,16.0,83.0,0.7783932679994914,3.2526187956482246,5.2610279239174425,0.9916666666666667,,,,0.75,0.5837949509996185
data2.1,7,9,phase2,expert_1,P037,62.0,263.01,7.0,一等奖,76,56.89473684210526,4.745746017556976,57.0,4.4478,0.08341274221422992,47.0,72.0,0.9230092660311945,1.0757556639162154,1.1241512657943253,0.868421052631579,,,,0.75,0.6922569495233959
data2.1,7,9,phase2,expert_2,P434,81.0,263.01,7.0,一等奖,74,58.5945945945946,4.943291895579493,57.0,2.9652,0.08436429895592307,52.0,81.0,0.9221993023588541,4.5324868283504145,8.093889113719143,1.0,,,,0.75,0.6916494767691406
data2.1,7,9,phase2,expert_3,P376,64.0,263.01,7.0,一等奖,71,56.605633802816904,8.62633653949087,56.0,8.8956,0.1523936039571664,38.0,76.0,0.8677590682264574,0.8571849896340255,0.8993210126354603,0.8028169014084507,,,,0.75,0.6508193011698431
data2.1,8,10,phase1,expert_1,P003,70.0,262.78,8.0,一等奖,119,48.865546218487395,12.871545526199066,48.0,10.3782,0.26340738050175216,0.0,80.0,0.7915103358054295,1.6419515231092496,2.1198281012121565,0.9663865546218487,,,,0.75,0.5936327518540722
data2.1,8,10,phase1,expert_2,P388,73.0,262.78,8.0,一等奖,119,58.285714285714285,14.536419987509605,60.0,14.825999999999999,0.24939936253080205,20.0,91.0,0.8003845927809544,1.01223586873033,0.8768379873195737,0.8781512605042017,,,,0.75,0.6002884445857158
data2.1,8,10,phase1,expert_3,P431,71.0,262.78,8.0,一等奖,120,50.225,11.852356784392622,51.0,4.4478,0.23598520227760322,20.0,78.0,0.8090711750895212,1.7528159485847454,4.496605063177301,0.975,,,,0.75,0.606803381317141
data2.1,8,10,phase1,expert_4,P288,70.0,262.78,8.0,一等奖,120,55.675,15.169165152656602,59.0,13.343399999999999,0.272459185498996,0.0,82.0,0.7858798234128422,0.944349926699245,0.8243775949158386,0.8625,,,,0.75,0.5894098675596317
data2.1,8,10,phase1,expert_5,P625,95.0,262.78,8.0,一等奖,119,75.7983193277311,14.318164255933004,80.0,7.412999999999999,0.18889817588204297,25.0,96.0,0.8411149249666402,1.3410714061554592,2.023472278429786,0.9873949579831933,1.0,,,0.5,0.4205574624833201
data2.1,8,10,phase2,expert_1,P117,64.0,262.78,8.0,一等奖,73,46.87671232876713,10.92518141913881,43.0,10.3782,0.23306202326041292,30.0,75.0,0.8109892131426124,1.5673229591625983,2.0234722784297854,0.9246575342465754,,,,0.75,0.6082419098569594
data2.1,8,10,phase2,expert_2,P434,71.0,262.78,8.0,一等奖,74,58.5945945945946,4.943291895579493,57.0,2.9652,0.08436429895592307,52.0,81.0,0.9221993023588541,2.509543370582437,4.721435316336167,0.9797297297297297,,,,0.75,0.6916494767691406
data2.1,8,10,phase2,expert_3,P376,64.0,262.78,8.0,一等奖,71,56.605633802816904,8.62633653949087,56.0,8.8956,0.1523936039571664,38.0,76.0,0.8677590682264574,0.8571849896340255,0.8993210126354603,0.8028169014084507,,,,0.75,0.6508193011698431
data2.1,9,11,phase1,expert_1,P003,75.0,261.38,9.0,一等奖,119,48.865546218487395,12.871545526199066,48.0,10.3782,0.26340738050175216,0.0,80.0,0.7915103358054295,2.0304052631688934,2.60160721512401,0.9789915966386554,,,,0.75,0.5936327518540722
data2.1,9,11,phase1,expert_2,P255,70.0,261.38,9.0,一等奖,119,49.403361344537814,12.206777311576767,49.0,8.8956,0.24708394286062857,0.0,75.0,0.8018706404848305,1.687311739186769,2.3607176581680833,0.9411764705882353,4.0,-1.0,,0.35714285714285715,0.2863823716017252
data2.1,9,11,phase1,expert_3,P388,71.0,261.38,9.0,一等奖,119,58.285714285714285,14.536419987509605,60.0,14.825999999999999,0.24939936253080205,20.0,91.0,0.8003845927809544,0.8746504108446539,0.7419398354242548,0.819327731092437,,,,0.75,0.6002884445857158
data2.1,9,11,phase1,expert_4,P431,64.0,261.38,9.0,一等奖,120,50.225,11.852356784392622,51.0,4.4478,0.23598520227760322,20.0,78.0,0.8090711750895212,1.1622161103131103,2.9227932910652457,0.875,,,,0.75,0.606803381317141
data2.1,9,11,phase1,expert_5,P625,94.0,261.38,9.0,一等奖,119,75.7983193277311,14.318164255933004,80.0,7.412999999999999,0.18889817588204297,25.0,96.0,0.8411149249666402,1.2712300506488947,1.8885741265344667,0.9705882352941176,1.0,,,0.5,0.4205574624833201
data2.1,9,11,phase2,expert_1,P493,66.0,261.38,9.0,一等奖,74,44.17567567567568,9.188077605525196,43.5,9.636899999999999,0.20798952059004724,30.0,70.0,0.8278217508969333,2.37528733009399,2.334775705880522,0.9864864864864865,,,,0.75,0.6208663131727
data2.1,9,11,phase2,expert_2,P370,62.0,261.38,9.0,一等奖,72,51.263888888888886,9.26905050906473,48.5,6.6716999999999995,0.1808105219866325,35.0,76.0,0.8468759224109629,1.1582751761479413,2.023472278429786,0.8402777777777778,5.0,0.35909242322980395,,0.5598487372049673,0.47412241573106945
data2.1,9,11,phase2,expert_3,P376,57.0,261.38,9.0,一等奖,71,56.605633802816904,8.62633653949087,56.0,8.8956,0.1523936039571664,38.0,76.0,0.8677590682264574,0.04571653278048111,0.11241512657943253,0.5704225352112676,,,,0.75,0.6508193011698431
data2.1,10,12,phase1,expert_1,P037,91.0,260.39,20.0,二等奖,120,63.525,14.866895433544043,62.0,11.8608,0.2340321988751522,25.0,95.0,0.8103516268955723,1.848065732540797,2.4450290031026576,0.9458333333333333,,,,0.75,0.6077637201716792
data2.1,10,12,phase1,expert_2,P376,60.0,260.39,20.0,二等奖,120,47.025,14.150726738471446,48.0,11.8608,0.3009192288882817,20.0,80.0,0.7686872311469819,0.9169140383952855,1.011736139214893,0.825,2.0,,,0.5,0.38434361557349095
data2.1,10,12,phase1,expert_3,P378,60.0,260.39,20.0,二等奖,119,54.76470588235294,16.155864696997092,60.0,14.825999999999999,0.29500504817287926,20.0,82.0,0.7721977620171432,0.32404914350515374,0.0,0.5504201680672269,,,,0.75,0.5791483215128574
data2.1,10,12,phase1,expert_4,P308,43.0,260.39,20.0,二等奖,120,41.56666666666667,10.115080125158444,43.0,7.412999999999999,0.24334595329170272,20.0,60.0,0.8042813806990282,0.141702617833774,0.0,0.5083333333333333,,,,0.75,0.6032110355242711
data2.1,10,12,phase1,expert_5,P565,68.0,260.39,20.0,二等奖,120,47.93333333333333,15.461382271216719,50.0,13.343399999999999,0.32256013083205953,20.0,79.0,0.7561092888614993,1.2978572235435417,1.3489815189531904,0.925,,,,0.75,0.5670819666461244
data2.1,10,12,phase2,expert_1,P493,61.0,260.39,20.0,二等奖,74,44.17567567567568,9.188077605525196,43.5,9.636899999999999,0.20798952059004724,30.0,70.0,0.8278217508969333,1.8311038550879364,1.815936660129295,0.9594594594594594,,,,0.75,0.6208663131727
data2.1,10,12,phase2,expert_2,P434,71.0,260.39,20.0,二等奖,74,58.5945945945946,4.943291895579493,57.0,2.9652,0.08436429895592307,52.0,81.0,0.9221993023588541,2.509543370582437,4.721435316336167,0.9797297297297297,,,,0.75,0.6916494767691406
data2.1,10,12,phase2,expert_3,P308,53.0,260.39,20.0,二等奖,70,47.42857142857143,7.080431143368561,47.0,8.1543,0.14928619880596364,30.0,64.0,0.8701052888644598,0.7868770218388037,0.7358081012471948,0.7642857142857142,,,,0.75,0.6525789666483448
data2.1,11,13,phase1,expert_1,P530,56.0,259.93,10.0,一等奖,119,52.890756302521005,11.9389619370791,54.0,10.3782,0.2257287051973964,20.0,86.0,0.8158412181747476,0.2604283114281944,0.1927116455647415,0.6176470588235294,,,,0.75,0.6118809136310608
data2.1,11,13,phase1,expert_2,P154,78.0,259.93,10.0,一等奖,119,55.78991596638655,14.089227733572613,59.0,11.8608,0.25254075919493013,21.0,83.0,0.7983772126048412,1.5763876099958265,1.6019155537569136,0.9831932773109243,,,,0.75,0.5987829094536309
data2.1,11,13,phase1,expert_3,P493,70.0,259.93,10.0,一等奖,119,38.11764705882353,11.779166088428486,37.0,11.8608,0.3090213325667967,20.0,70.0,0.7639294907739572,2.706673180582518,2.782274382840955,1.0,,,,0.75,0.5729471180804679
data2.1,11,13,phase1,expert_4,P460,87.0,259.93,10.0,一等奖,119,52.30252100840336,12.752237837408895,52.0,10.3782,0.2438168866728243,26.0,93.0,0.8039768640502801,2.720893339191889,3.372453797382976,0.9831932773109243,,,,0.75,0.6029826480377101
data2.1,11,13,phase1,expert_5,P239,78.0,259.93,10.0,一等奖,119,53.470588235294116,15.037706014995099,53.0,16.3086,0.28123322580298865,23.0,85.0,0.7804980232020357,1.6311937299642627,1.5329335442649892,0.9453781512605042,,,,0.75,0.5853735174015268
data2.1,11,13,phase2,expert_1,P117,65.0,259.93,10.0,一等奖,73,46.87671232876713,10.92518141913881,43.0,10.3782,0.23306202326041292,30.0,75.0,0.8109892131426124,1.6588546199776941,2.1198281012121565,0.9452054794520548,,,,0.75,0.6082419098569594
data2.1,11,13,phase2,expert_2,P370,67.0,259.93,10.0,一等奖,72,51.263888888888886,9.26905050906473,48.5,6.6716999999999995,0.1808105219866325,35.0,76.0,0.8468759224109629,1.697704753655391,2.7729064556260026,0.9583333333333334,5.0,0.35909242322980395,,0.5598487372049673,0.47412241573106945
data2.1,11,13,phase2,expert_3,P376,64.0,259.93,10.0,一等奖,71,56.605633802816904,8.62633653949087,56.0,8.8956,0.1523936039571664,38.0,76.0,0.8677590682264574,0.8571849896340255,0.8993210126354603,0.8028169014084507,,,,0.75,0.6508193011698431
data2.1,12,14,phase1,expert_1,P117,63.0,259.63,11.0,一等奖,119,39.134453781512605,12.40279108128072,37.0,13.343399999999999,0.31692766559424645,20.0,78.0,0.7593431485462514,1.9242077095458925,1.948528860710164,0.9705882352941176,,,,0.75,0.5695073614096886
data2.1,12,14,phase1,expert_2,P434,39.0,259.63,11.0,一等奖,119,45.63865546218487,14.298115967175402,46.0,14.825999999999999,0.31328959677662915,20.0,75.0,0.7614466774536439,-0.4643028128618781,-0.47214353163361666,0.3277310924369748,,,,0.75,0.571085008090233
data2.1,12,14,phase1,expert_3,P340,72.0,259.63,11.0,一等奖,119,63.32773109243698,11.779837157299742,65.0,7.412999999999999,0.18601388292445187,30.0,80.0,0.8431604506468491,0.7361959925047845,0.9442870632672333,0.819327731092437,,,,0.75,0.6323703379851369
data2.1,12,14,phase1,expert_4,P378,79.0,259.63,11.0,一等奖,119,54.76470588235294,16.155864696997092,60.0,14.825999999999999,0.29500504817287926,20.0,82.0,0.7721977620171432,1.5000926643159929,1.281532443005531,0.9747899159663865,,,,0.75,0.5791483215128574
data2.1,12,14,phase1,expert_5,P407,80.0,259.63,11.0,一等奖,119,68.38655462184875,18.831144975269517,72.0,16.3086,0.2753632651827319,20.0,95.0,0.7840903272815544,0.6167147772163036,0.49053873416479654,0.6680672268907563,,,,0.75,0.5880677454611658
data2.1,12,14,phase2,expert_1,P370,56.0,259.63,11.0,一等奖,72,51.263888888888886,9.26905050906473,48.5,6.6716999999999995,0.1808105219866325,35.0,76.0,0.8468759224109629,0.5109596831390014,1.1241512657943253,0.7569444444444444,5.0,0.35909242322980395,,0.5598487372049673,0.47412241573106945
data2.1,12,14,phase2,expert_2,P376,76.0,259.63,11.0,一等奖,71,56.605633802816904,8.62633653949087,56.0,8.8956,0.1523936039571664,38.0,76.0,0.8677590682264574,2.24827377281153,2.2483025315886507,1.0,,,,0.75,0.6508193011698431
data2.1,12,14,phase2,expert_3,P308,64.0,259.63,11.0,一等奖,70,47.42857142857143,7.080431143368561,47.0,8.1543,0.14928619880596364,30.0,64.0,0.8701052888644598,2.340454731623109,2.084789620200385,1.0,,,,0.75,0.6525789666483448
data2.1,13,15,phase1,expert_1,P530,60.0,256.46,12.0,一等奖,119,52.890756302521005,11.9389619370791,54.0,10.3782,0.2257287051973964,20.0,86.0,0.8158412181747476,0.5954658147790604,0.5781349366942244,0.7521008403361344,,,,0.75,0.6118809136310608
data2.1,13,15,phase1,expert_2,P493,65.0,256.46,12.0,一等奖,119,38.11764705882353,11.779166088428486,37.0,11.8608,0.3090213325667967,20.0,70.0,0.7639294907739572,2.2821949142550015,2.3607176581680833,0.9831932773109243,,,,0.75,0.5729471180804679
data2.1,13,15,phase1,expert_3,P370,67.0,256.46,12.0,一等奖,119,38.57983193277311,15.560976723254987,36.0,14.825999999999999,0.4033448551660517,5.0,75.0,0.7125832230892915,1.8263743062319848,2.0909213543774454,0.9453781512605042,2.0,,,0.5,0.3562916115446457
data2.1,13,15,phase1,expert_4,P326,54.0,256.46,12.0,一等奖,119,35.57142857142857,10.964172338144484,34.0,11.8608,0.3082297444458289,20.0,63.0,0.7643917318388169,1.6807991392526924,1.6862268986914881,0.9327731092436975,,,,0.75,0.5732937988791127
data2.1,13,15,phase1,expert_5,P239,80.0,256.46,12.0,一等奖,119,53.470588235294116,15.037706014995099,53.0,16.3086,0.28123322580298865,23.0,85.0,0.7804980232020357,1.7641927391220202,1.6555682278061883,0.9663865546218487,,,,0.75,0.5853735174015268
data2.1,13,15,phase2,expert_1,P037,64.0,256.46,12.0,一等奖,76,56.89473684210526,4.745746017556976,57.0,4.4478,0.08341274221422992,47.0,72.0,0.9230092660311945,1.4971857178215366,1.5738117721120555,0.9342105263157895,,,,0.75,0.6922569495233959
