作品编号,专家1,专家2,专家3,专家4,专家5
157,123,1,88,104,122
158,51,13,33,103,105
159,78,12,11,41,63
160,4,86,70,2,30
161,57,87,108,46,36
162,120,61,45,65,5
163,37,68,114,100,107
164,69,14,44,125,8
165,110,83,28,92,95
166,7,20,81,118,3
167,79,22,67,53,16
168,84,112,111,6,31
169,35,56,25,109,73
170,94,27,10,97,38
171,80,113,21,26,49
172,39,15,90,85,116
173,89,106,47,52,76
174,40,34,82,64,105
175,121,75,24,55,101
176,72,60,89,108,95
177,54,4,57,28,18
178,16,90,62,72,111
179,68,79,10,112,50
180,21,100,78,5,23
181,2,43,20,98,80
182,124,94,76,61,6
183,12,73,3,15,45
184,115,63,88,53,31
185,47,14,96,30,55
186,123,74,59,81,102
187,35,82,114,71,51
188,24,33,122,84,41
189,52,70,65,83,17
190,87,58,119,27,29
191,60,66,103,56,121
192,49,11,19,120,25
193,117,37,13,48,93
194,46,106,86,64,97
195,125,39,9,34,109
196,32,116,67,44,7
197,113,1,36,42,22
198,85,26,40,8,107
199,77,92,75,118,38
200,99,110,104,64,68
201,91,69,34,28,97
202,44,77,27,50,71
203,81,66,49,119,67
204,103,93,78,115,15
205,116,102,56,94,58
206,30,107,35,43,65
207,106,38,55,2,26
208,7,10,109,105,110
209,6,8,32,59,45
210,63,22,92,48,9
211,95,118,4,53,99
212,88,111,47,41,98
213,18,31,79,90,11
214,70,46,60,124,3
215,125,54,85,42,37
216,100,89,16,87,104
217,51,120,80,36,14
218,83,24,112,74,62
219,19,82,17,39,84
220,121,123,108,40,29
221,101,96,122,73,5
222,61,52,86,13,1
223,20,113,72,12,57
224,69,33,114,21,25
225,23,75,76,115,122
226,91,117,73,32,26
227,38,28,62,119,80
228,91,57,1,7,39
229,31,105,102,106,78
230,69,84,55,87,93
231,96,76,9,98,45
232,92,64,114,27,121
233,107,44,58,81,90
234,82,112,59,85,61
235,113,33,74,10,104
236,41,37,67,43,108
237,56,50,8,4,51
238,125,116,66,70,40
239,17,3,35,24,13
240,25,5,79,117,95
241,52,34,20,16,42
242,72,2,54,47,11
243,97,68,88,101,124
244,103,75,111,65,123
245,89,77,109,53,86
246,22,118,60,83,30
247,100,12,18,49,91
248,94,36,48,29,71
249,63,21,120,6,46
250,14,19,110,23,86
251,99,96,85,43,6
252,15,23,37,11,77
253,100,121,61,99,116
254,108,54,38,122,19
255,51,12,106,83,10
256,29,69,78,98,39
257,115,56,104,21,9
258,5,48,114,2,66
259,17,120,89,110,101
260,76,93,1,109,74
261,87,50,103,59,3
262,113,31,14,82,24
263,105,62,8,123,92
264,34,75,63,4,81
265,47,79,119,46,45
266,32,28,42,107,55
267,41,90,112,95,64
268,73,58,52,30,18
269,33,70,117,111,35
270,72,22,84,40,65
271,80,57,118,97,67
272,125,53,25,71,7
273,49,15,16,44,13
274,124,102,27,20,107
275,68,26,36,52,118
276,60,88,94,45,25
277,13,55,9,10,64
278,28,72,3,66,76
279,121,77,112,21,43
280,56,110,123,119,70
281,63,73,124,47,50
282,109,46,30,82,67
283,108,111,23,59,120
284,92,29,68,86,103
285,4,35,104,31,37
286,39,20,18,44,96
287,1,38,14,79,40
288,98,83,105,99,93
289,102,54,113,100,88
290,81,26,101,94,69
291,27,84,53,32,2
292,65,36,11,85,114
293,34,117,106,71,87
294,49,7,6,122,97
295,80,12,19,5,8
296,41,61,15,125,60
297,42,74,95,75,58
298,16,115,17,91,116
299,48,89,33,90,80
300,51,22,57,49,85
301,62,78,35,59,20
302,24,2,52,19,69
303,110,22,3,8,102
304,38,64,12,33,47
305,60,74,100,67,101
306,71,41,32,57,89
307,31,117,75,107,83
308,44,34,104,45,29
309,120,81,13,87,91
310,113,97,37,30,79
311,6,26,10,5,116
312,15,9,123,25,112
313,7,23,17,90,88
314,66,46,24,68,39
315,84,103,108,58,16
316,51,115,72,92,70
317,28,118,98,122,65
318,48,40,27,111,61
319,63,121,93,106,42
320,125,4,62,94,114
321,18,76,78,95,14
322,82,36,77,99,78
323,54,86,50,104,20
324,119,1,96,21,11
325,43,105,53,60,48
326,124,109,32,96,113
327,55,56,111,11,71
328,73,33,14,99,27
329,84,91,10,37,90
330,64,17,125,21,18
331,117,1,80,115,102
332,72,49,29,56,63
333,12,112,65,66,58
334,79,23,28,105,26
335,55,76,8,41,70
336,87,124,114,15,24
337,5,74,31,43,103
338,109,106,44,119,95
339,30,85,88,50,81
340,86,67,69,62,36
341,73,34,100,94,123
342,13,57,121,83,47
343,118,2,6,93,40
344,59,52,51,116,38
345,98,110,82,107,33
346,16,68,45,35,75
347,122,22,4,77,25
348,108,97,92,61,3
349,19,42,9,53,46
350,101,39,54,107,77
351,89,7,55,78,19
352,120,98,94,104,30
353,99,120,86,47,8
354,96,111,80,100,82
355,97,58,13,5,40
356,52,95,43,12,29
357,124,123,22,69,45
358,116,112,81,48,72
359,37,38,66,71,83
360,44,53,1,101,92
361,118,59,49,31,41
362,35,42,21,57,84
363,14,46,16,28,7
364,89,3,36,4,64
365,93,34,27,11,62
366,105,85,115,32,25
367,68,18,122,15,74
368,73,6,60,51,23
369,20,9,26,103,37
370,121,50,90,125,76
371,75,114,39,102,119
372,56,17,67,61,87
373,109,54,91,79,65
374,10,117,88,24,67
375,113,106,70,108,45
376,2,110,122,46,58
377,63,76,57,15,102
378,107,96,84,56,105
379,65,13,7,38,50
380,20,17,108,48,68
381,70,91,82,42,104
382,44,110,55,5,94
383,3,101,9,27,86
384,120,69,31,66,100
385,92,16,39,26,25
386,112,87,11,113,8
387,53,14,72,41,34
388,116,93,22,114,73
389,77,115,95,111,125
390,63,61,79,32,43
391,29,24,6,4,47
392,121,2,97,1,78
393,51,88,74,99,28
394,71,54,62,81,33
395,49,23,64,2,65
396,123,18,80,109,83
397,21,19,60,75,36
398,124,30,10,59,89
399,118,12,90,119,74
400,40,117,52,103,53
401,106,85,35,69,103
402,98,46,73,85,95
403,23,107,125,13,106
404,101,93,36,47,112
405,19,109,100,70,57
406,66,9,108,50,62
407,97,83,77,20,120
408,78,94,91,22,24
409,117,59,43,28,15
410,90,3,68,123,21
411,34,116,18,92,98
412,96,16,41,27,69
413,75,49,40,37,110
414,79,51,58,86,111
415,52,32,88,119,82
416,6,54,64,115,67
417,56,31,39,12,23
418,81,124,104,25,38
419,122,48,42,102,10
420,84,80,30,121,95
421,55,113,99,114,16
422,17,14,118,105,11
423,29,61,35,26,19
424,87,33,1,63,28
425,45,72,71,74,85
426,5,60,4,82,92
427,76,7,58,62,104
428,8,89,27,103,1
429,44,43,87,25,72
430,94,79,20,8,122
431,42,110,26,15,67
432,119,111,99,22,107
433,83,29,21,124,8
434,38,100,30,39,117
435,40,45,80,114,86
436,91,31,123,47,61
437,84,102,120,60,109
438,89,34,49,115,43
439,37,78,118,73,88
440,48,51,75,64,32
441,3,65,53,96,57
442,108,105,63,55,77
443,44,6,113,35,123
444,101,13,46,90,113
445,71,24,18,97,103
446,98,17,112,5,1
447,41,116,106,68,9
448,14,93,70,12,88
449,2,76,59,33,91
450,11,81,121,5,35
451,54,36,66,41,10
452,52,56,125,46,27
453,4,7,79,107,69
454,50,55,40,39,83
455,102,28,104,36,12
456,50,6,11,58,69
457,62,101,18,82,2
458,21,87,97,95,48
459,17,45,38,93,111
460,42,31,116,3,29
461,63,60,80,54,16
462,120,52,122,92,78
463,118,25,86,96,24
464,37,64,119,7,101
465,84,70,13,74,63
466,109,71,22,20,31
467,68,67,33,77,72
468,98,108,56,14,26
469,4,124,44,115,112
470,19,94,85,66,33
471,125,51,81,89,84
472,30,53,15,5,54
473,99,90,49,9,70
474,106,110,114,32,118
475,105,121,65,59,68
476,47,10,23,87,62
477,76,117,16,82,123
478,57,75,61,73,2
479,100,93,92,20,32
480,34,19,56,99,13
481,38,18,72,110,36
482,1,12,48,125,67
483,14,10,49,103,107
484,105,47,35,9,80
485,24,23,116,27,30
486,106,65,39,8,48
487,108,7,22,52,74
488,78,85,64,44,28
489,98,37,60,81,79
490,97,53,50,45,36
491,61,46,88,34,83
492,109,122,3,55,117
493,15,66,21,91,27
494,6,104,17,71,75
495,124,120,90,82,95
496,40,76,119,4,42
497,114,115,96,29,120
498,112,86,73,55,59
499,41,77,94,80,3
500,43,100,11,51,46
501,111,102,89,25,13
502,121,58,25,37,17
503,26,57,74,30,77
504,113,119,86,60,34
505,65,87,18,9,33
506,57,31,98,10,114
507,106,24,81,43,22
508,99,41,20,117,5
509,49,73,83,104,125
510,108,2,44,42,11
511,1,29,64,100,122
512,101,84,85,12,115
513,111,8,53,121,28
514,67,103,112,39,94
515,14,54,45,90,89
516,66,52,93,107,6
517,35,118,63,116,89
518,61,50,16,105,12
519,71,40,47,92,96
520,109,15,38,48,98
521,59,26,7,75,96
522,62,79,88,121,44
523,69,56,113,92,5
524,123,72,4,97,23
525,21,32,70,38,16
526,91,58,41,105,6
527,110,124,78,9,111
528,95,102,19,47,16
529,76,51,68,34,5
530,28,49,20,60,106
531,119,10,69,72,17
532,102,97,51,112,117
533,42,78,71,73,79
534,123,120,32,125,24
535,53,104,80,61,39
536,82,27,37,63,109
537,13,110,85,4,20
538,74,64,35,124,91
539,52,57,55,115,81
540,76,65,113,29,110
541,95,107,67,50,116
542,31,25,54,99,40
543,66,45,77,18,13
544,23,84,36,34,25
545,33,43,118,46,8
546,56,68,1,62,70
547,22,14,87,66,64
548,94,108,75,93,90
549,15,88,65,95,62
550,59,11,60,39,122
551,101,103,83,23,48
552,30,21,105,101,72
553,2,100,81,83,45
554,19,28,116,103,45
555,114,7,112,70,18
556,58,3,26,100,82
557,86,123,41,38,44
558,3,71,99,67,23
559,19,119,51,93,54
560,26,47,43,90,102
561,98,121,12,86,22
562,113,125,59,93,68
563,6,33,79,15,89
564,96,17,36,95,31
565,73,10,115,108,39
566,8,117,114,108,30
567,106,11,124,40,7
568,120,88,42,35,27
569,14,75,97,84,43
570,61,69,9,24,107
571,76,53,49,108,101
572,78,109,58,68,57
573,21,52,4,111,109
574,29,91,85,77,2
575,104,32,46,40,77
576,55,92,74,66,6
577,1,50,37,120,41
578,87,94,82,86,83
579,56,118,112,54,32
580,122,80,91,103,44
581,63,8,67,18,104
582,122,70,87,30,71
583,15,75,47,69,105
584,58,55,31,21,67
585,61,115,11,22,20
586,102,37,99,44,46
587,7,73,113,48,121
588,111,94,63,7,42
589,52,10,35,100,72
590,3,38,88,125,33
591,124,53,85,56,24
592,81,1,9,82,23
593,74,36,106,98,111
594,50,5,14,109,64
595,96,116,117,4,12
596,13,27,118,76,100
597,119,26,120,33,4
598,110,84,62,117,113
599,92,65,89,37,112
600,16,2,125,57,124
601,34,114,79,17,41
602,60,78,107,123,87
603,25,28,75,91,30
604,80,59,92,46,107
605,19,97,105,81,18
606,51,90,29,53,59
607,49,116,69,1,54
608,114,77,14,52,42
609,64,123,58,53,20
610,119,43,104,55,68
611,56,47,65,74,97
612,38,34,57,112,29
613,19,50,31,92,76
614,9,93,60,85,122
615,70,98,102,64,24
616,110,90,71,2,60
617,27,17,80,4,32
618,26,115,99,45,24
619,39,49,36,88,35
620,121,3,16,119,6
621,21,73,13,62,40
622,48,28,86,35,10
623,12,25,46,76,107
624,66,118,61,89,82
625,84,106,5,59,47
626,78,96,72,125,117
627,83,15,96,51,42
628,101,63,95,71,10
629,22,103,2,88,76
630,8,57,9,88,66
631,79,120,118,55,48
632,11,94,89,68,23
633,69,77,12,59,110
634,37,16,36,8,73
635,86,31,72,94,9
636,28,90,109,61,114
637,20,87,116,101,14
638,102,11,33,92,30
639,62,85,63,97,52
640,3,84,104,79,52
641,49,32,121,15,36
642,56,45,7,80,78
643,44,105,100,65,67
644,74,25,27,110,51
645,83,1,43,113,58
646,5,70,39,22,95
647,29,41,13,82,79
648,17,124,51,122,26
649,98,91,40,89,63
650,54,75,78,8,27
651,111,50,34,74,114
652,21,93,44,31,64
653,108,81,96,64,111
654,106,115,50,99,62
655,38,103,113,63,23
656,18,6,42,56,37
657,123,19,10,22,32
658,69,48,104,70,41
659,15,40,35,34,95
660,85,5,75,18,125
661,99,57,11,116,76
662,14,13,124,108,104
663,20,45,21,67,65
664,46,91,38,72,114
665,102,4,121,55,34
666,107,19,118,71,112
667,49,93,3,78,48
668,103,17,42,90,73
669,39,47,58,28,120
670,97,66,109,115,42
671,87,7,12,35,54
672,61,81,36,70,6
673,101,98,6,117,25
674,105,2,113,122,89
675,100,24,8,119,77
676,33,53,93,56,86
677,26,1,95,123,66
678,68,30,12,53,26
679,106,94,16,21,51
680,43,19,125,79,82
681,29,60,14,106,15
682,84,83,54,76,116
683,80,31,108,85,34
684,7,123,33,77,106
685,81,92,109,87,73
686,124,72,118,62,42
687,110,61,93,57,43
688,99,59,97,25,41
689,96,28,68,2,102
690,52,90,5,87,37
691,58,45,48,24,49
692,100,50,75,46,112
693,122,13,67,36,30
694,18,119,108,27,65
695,98,103,54,21,3
696,111,20,30,69,63
697,16,23,33,40,109
698,94,32,47,117,29
699,83,44,114,3,60
700,38,120,85,73,74
701,17,55,60,1,91
702,11,10,82,45,101
703,4,84,88,48,71
704,121,115,69,90,122
705,9,102,77,79,75
706,105,39,71,64,1
707,22,89,107,62,26
708,86,124,116,37,80
709,32,68,120,72,18
710,24,111,12,2,104
711,121,41,19,74,44
712,51,123,55,61,101
713,25,83,67,78,35
714,97,31,15,52,8
715,105,119,117,57,92
716,86,6,95,13,39
717,43,94,70,17,28
718,20,125,47,103,46
719,91,96,88,56,5
720,11,53,66,73,110
721,14,81,65,41,46
722,16,112,122,27,31
723,22,59,100,40,18
724,49,71,5,111,124
725,58,99,80,23,70
726,98,7,115,13,72
727,84,29,107,109,45
728,4,113,39,61,33
729,9,100,121,33,83
730,38,76,10,21,99
731,50,118,23,117,21
732,53,81,37,47,22
733,101,16,65,78,32
734,68,87,115,82,2
735,30,93,34,120,7
736,29,54,23,92,24
737,3,113,95,69,85
738,27,43,39,98,55
739,56,28,40,36,77
740,104,103,11,118,123
741,97,89,9,119,73
742,52,112,105,94,49
743,106,1,4,108,25
744,26,63,64,17,50
745,107,91,53,38,36
746,12,114,60,62,58
747,14,6,57,123,30
748,116,74,78,86,82
749,125,35,22,122,34
750,96,10,61,58,106
751,84,20,119,15,91
752,44,75,89,99,87
753,59,67,19,111,113
754,66,80,75,106,73
755,88,92,79,124,84
756,90,8,72,55,6
757,110,80,81,24,42
758,102,35,76,77,17
759,51,18,60,10,44
760,102,38,69,49,96
761,54,110,1,59,95
762,116,13,60,104,64
763,41,26,83,27,72
764,79,103,70,96,93
765,7,47,25,18,118
766,50,43,122,40,116
767,112,2,109,120,67
768,62,98,51,77,5
769,45,105,125,86,90
770,108,107,15,82,104
771,19,37,20,51,28
772,16,85,68,71,58
773,117,66,86,115,36
774,3,11,32,74,95
775,114,97,9,6,1
776,57,94,59,65,48
777,46,31,48,115,33
778,29,101,111,66,105
779,88,29,97,40,67
780,121,52,14,10,25
781,63,100,56,90,4
782,8,71,120,76,121
783,12,89,83,85,17
784,110,31,30,41,16
785,62,49,91,14,92
786,100,42,41,109,101
787,45,4,64,117,42
788,123,37,2,36,56
789,12,108,27,81,21
790,114,63,23,57,5
791,52,44,80,47,54
792,3,111,87,88,15
793,39,110,50,72,121
794,74,8,7,61,46
795,124,19,99,98,87
796,118,84,44,70,28
797,107,94,53,10,2
798,24,11,38,75,86
799,20,55,112,88,26
800,125,26,87,38,22
801,9,32,30,69,78
802,102,65,34,66,10
803,93,35,46,1,5
804,113,25,70,50,78
805,43,71,91,9,36
806,79,115,83,69,57
807,68,63,31,14,47
808,13,22,28,59,21
809,119,122,23,45,12
810,103,109,7,43,99
811,107,51,63,24,95
812,53,114,103,76,67
813,112,80,6,68,40
814,100,79,64,25,93
815,29,33,108,75,124
816,16,97,96,125,74
817,34,8,60,82,49
818,37,69,57,53,98
819,18,61,62,48,54
820,101,52,35,92,64
821,85,123,55,15,120
822,65,4,73,41,20
823,13,32,76,23,46
824,84,73,105,19,3
825,56,117,89,39,14
826,102,7,83,11,85
827,94,95,100,20,71
828,113,77,47,116,119
829,81,117,15,68,56
830,118,58,98,22,27
831,90,38,77,31,70
832,106,54,82,65,58
833,104,97,93,72,75
834,17,59,29,37,12
835,17,8,81,30,123
836,55,49,125,86,79
837,102,40,62,94,122
838,18,26,121,124,1
839,50,42,32,61,91
840,48,99,6,78,47
841,107,5,21,33,104
842,118,115,34,96,67
843,111,39,51,3,57
844,120,106,117,2,116
845,101,28,11,112,60
846,44,24,16,109,108
847,43,62,41,119,35
848,103,4,95,41,2
849,114,105,88,59,77
850,13,75,88,1,45
851,89,74,53,70,15
852,113,27,66,84,90
853,80,93,82,4,28
854,110,87,96,63,37
855,92,9,19,124,12
856,52,116,62,25,29
857,113,98,125,100,30
858,120,34,21,86,91
859,7,31,101,36,44
860,68,22,84,6,65
861,23,121,107,85,86
862,78,33,20,61,56
863,104,26,44,57,45
864,46,49,17,66,123
865,24,79,108,99,122
866,119,58,63,93,32
867,11,64,19,117,22
868,118,72,109,94,59
869,3,5,67,102,14
870,43,16,1,51,30
871,40,10,8,78,103
872,111,18,42,123,48
873,13,9,35,60,115
874,81,105,124,27,45
875,38,60,47,42,108
876,89,29,55,74,83
877,76,112,69,37,14
878,73,67,28,92,114
879,50,52,90,36,96
880,97,39,116,110,71
881,80,10,74,87,42
882,54,106,91,3,30
883,112,24,103,89,19
884,94,25,76,119,115
885,107,61,73,34,12
886,58,99,101,125,8
887,88,69,82,7,6
888,16,50,70,101,95
889,46,4,67,39,49
890,72,99,81,32,66
891,80,84,102,53,110
892,26,97,5,13,113
893,56,38,85,79,98
894,27,49,23,9,111
895,33,57,68,55,20
896,54,15,31,35,120
897,83,118,65,104,115
898,21,37,92,121,51
899,2,34,48,109,75
900,122,77,11,100,90
901,105,114,40,106,18
902,71,108,17,52,43
903,64,30,90,97,15
904,8,106,11,79,113
905,76,61,58,83,72
906,62,17,85,93,82
907,9,91,98,26,110
908,63,86,59,84,60
909,65,51,36,122,124
910,14,35,96,4,44
911,121,22,45,28,78
912,53,70,120,66,94
913,10,21,119,116,89
914,41,23,105,100,32
915,71,74,50,117,6
916,27,7,80,73,125
917,55,13,54,16,102
918,81,109,38,29,3
919,46,56,92,103,18
920,31,1,32,52,33
921,2,112,104,47,39
922,111,5,43,87,118
923,25,77,20,12,64
924,114,95,68,24,48
925,40,19,69,123,75
926,88,107,72,42,57
927,17,23,56,95,60
928,71,69,33,44,82
929,54,5,86,81,46
930,49,43,88,101,19
931,55,2,61,31,51
932,65,37,39,102,109
933,1,50,110,78,27
934,84,18,8,85,52
935,104,40,111,41,93
936,12,11,105,115,124
937,45,4,123,89,48
938,100,114,25,96,97
939,70,83,26,119,125
940,121,94,7,38,58
941,118,73,64,16,113
942,36,13,120,22,90
943,3,10,68,28,99
944,74,59,9,67,20
945,122,47,76,15,34
946,35,14,106,112,107
947,62,103,80,6,21
948,87,77,29,117,91
949,79,116,108,92,53
950,98,66,75,63,107
951,24,18,51,14,33
952,54,110,114,61,64
953,69,117,124,31,28
954,88,44,29,5,50
955,52,76,24,93,87
956,60,25,65,81,47
957,35,70,46,58,57
958,38,97,62,59,83
959,42,59,8,102,2
960,79,22,16,3,112
961,63,41,103,7,71
962,74,82,26,122,39
963,94,96,37,12,34
964,108,119,120,20,80
965,17,100,53,98,68
966,125,67,40,56,11
967,13,84,111,78,95
968,21,66,86,43,4
969,9,121,101,72,73
970,6,116,19,91,45
971,48,32,106,1,55
972,36,75,27,115,30
973,89,85,113,77,92
974,49,90,10,109,104
975,15,23,118,26,37
976,123,105,99,125,50
977,116,4,72,103,74
978,117,43,7,100,8
979,95,93,109,58,115
980,21,55,19,96,81
981,99,92,36,11,107
982,61,14,120,124,67
983,90,3,9,41,76
984,20,5,82,89,75
985,98,102,73,51,108
986,42,17,97,34,121
987,48,104,15,79,63
988,54,33,123,57,118
989,47,10,110,18,22
990,105,94,88,56,87
991,38,78,53,6,44
992,60,30,40,46,1
993,25,86,49,70,68
994,69,52,66,112,122
995,28,83,113,2,101
996,62,111,39,91,16
997,23,119,84,71,29
998,27,85,31,65,24
999,32,13,114,80,12
1000,35,45,77,69,56
1001,106,64,39,9,45
1002,77,21,101,1,15
1003,66,64,37,32,7
1004,87,49,16,59,120
1005,35,114,36,26,41
1006,47,17,74,40,94
1007,70,63,72,12,106
1008,14,98,125,95,65
1009,44,112,43,81,97
1010,117,118,13,110,24
1011,79,119,78,123,46
1012,42,50,53,83,31
1013,93,54,27,20,90
1014,111,107,28,58,100
1015,82,10,91,8,25
1016,86,11,51,88,96
1017,62,5,109,124,116
1018,92,48,115,38,22
1019,104,34,105,52,113
1020,71,67,57,121,18
1021,61,60,80,29,89
1022,33,6,3,108,2
1023,55,84,73,30,4
1024,75,99,122,85,119
1025,102,19,23,68,44
1026,103,36,121,59,79
1027,76,18,113,111,82
1028,43,10,80,63,124
1029,87,64,125,107,55
1030,2,14,58,74,13
1031,17,86,102,6,57
1032,11,83,103,108,49
1033,76,114,75,51,91
1034,70,109,61,101,4
1035,5,15,65,72,19
1036,24,100,84,56,47
1037,46,9,31,118,68
1038,90,88,33,25,85
1039,16,67,110,93,99
1040,12,26,40,28,42
1041,122,27,97,95,104
1042,30,37,62,71,89
1043,3,7,98,77,23
1044,116,1,115,81,41
1045,120,52,106,38,73
1046,50,32,45,94,54
1047,20,39,96,60,66
1048,48,29,69,53,105
1049,92,123,117,34,112
1050,21,22,8,35,39
1051,78,97,51,29,58
1052,34,18,11,78,87
1053,65,79,114,107,1
1054,120,7,5,42,112
1055,13,44,48,59,125
1056,45,31,25,43,38
1057,76,60,67,85,54
1058,20,50,30,109,24
1059,17,103,69,16,104
1060,28,108,95,57,66
1061,80,93,8,26,14
1062,92,4,83,94,111
1063,41,2,98,10,12
1064,124,110,89,101,3
1065,21,56,9,122,32
1066,75,113,74,37,61
1067,77,99,71,49,106
1068,117,63,22,73,105
1069,123,68,36,84,116
1070,119,15,52,81,6
1071,115,33,86,100,62
1072,91,47,118,88,55
1073,46,53,72,64,82
1074,40,70,102,27,121
1075,90,23,96,53,1
1076,19,35,104,100,50
1077,76,70,19,62,98
1078,122,110,8,29,49
1079,20,81,2,18,16
1080,40,92,25,120,39
1081,7,48,96,17,9
1082,108,77,55,82,97
1083,47,72,3,43,85
1084,30,125,121,35,63
1085,28,65,23,61,88
1086,80,79,51,115,90
1087,99,57,112,45,84
1088,27,26,67,86,106
1089,37,114,31,93,123
1090,68,89,109,111,52
1091,46,22,75,116,83
1092,38,13,66,41,124
1093,64,11,5,94,91
1094,101,14,12,6,118
1095,95,103,117,33,42
1096,107,113,60,4,32
1097,15,71,102,78,24
1098,74,21,73,69,54
1099,105,44,36,58,110
1100,87,119,28,109,1
1101,56,10,59,34,30
1102,56,89,97,49,107
1103,63,19,2,27,64
1104,70,42,59,100,71
1105,9,8,57,38,116
1106,77,93,73,44,83
1107,81,95,34,79,26
1108,103,106,94,125,68
1109,5,67,90,6,4
1110,35,108,74,123,101
1111,65,86,40,7,52
1112,75,16,15,10,105
1113,117,104,55,66,119
1114,72,31,48,99,80
1115,112,113,12,88,36
1116,54,25,29,17,11
1117,98,21,47,45,20
1118,50,120,118,58,69
1119,124,33,121,23,91
1120,43,13,96,122,62
1121,92,84,82,32,14
1122,61,18,115,53,3
1123,111,114,22,85,102
1124,37,24,60,125,115
1125,87,51,41,46,113
1126,76,78,39,30,107
1127,100,79,52,12,4
1128,77,78,94,124,57
1129,102,91,56,106,20
1130,70,117,75,88,9
1131,62,90,73,112,32
1132,81,59,93,23,39
1133,11,80,33,37,97
1134,42,21,14,36,85
1135,64,123,29,43,26
1136,48,74,110,41,119
1137,71,34,98,31,1
1138,120,114,3,122,121
1139,96,38,84,76,101
1140,65,82,50,51,49
1141,2,5,105,66,25
1142,17,92,13,27,15
1143,6,95,54,22,89
1144,7,53,45,16,60
1145,104,24,8,72,28
1146,111,47,19,86,61
1147,63,44,116,55,114
1148,46,99,109,69,26
1149,67,10,108,69,84
